SVG Description Table for Renal Corpuscle v1.0,
,
Author Name(s):,Fauzan Isnaini
Image Source:,Explorer. [Online]. Available: https://atlas.kpmp.org/explorer/. [Accessed: 04-Aug-2021].
Date:,8/10/2021
Version Number:,1
,
,
,
svg_id,reference_name
parietal_epithelial_cells,glomerular_parietal_epithelium
podocytes,glomerular_visceral_epithelium
path571,glomerular_capillary_endothelium
path573,glomerular_capillary_endothelium
mesangium,glomerular_mesangium
distal_tubule,thick_ascending_limb_of_loop_of_Henle
proximal_tubule,proximal_tubule
basement_membranes,glomerular_basement_membrane
extraglomerular_mesangium_1,extraglomerular_mesangium
extraglomerular_mesangium_2,extraglomerular_mesangium
extraglomerular_mesangium_3,extraglomerular_mesangium
macula_densa,macula_densa
basement_membranes,basement_membrane_of_epithelium
path4883,Bowman's_space
path191,renal_afferent_arteriole
path195,renal_afferent_arteriole
path199,renal_afferent_arteriole
path203,renal_afferent_arteriole
path207,renal_afferent_arteriole
path211,renal_afferent_arteriole
path215,renal_afferent_arteriole
path219,renal_afferent_arteriole
path223,renal_afferent_arteriole
path227,renal_afferent_arteriole
path231,renal_afferent_arteriole
path235,renal_afferent_arteriole
path239,renal_afferent_arteriole
path635,renal_efferent_arteriole
path631,renal_efferent_arteriole
path627,renal_efferent_arteriole
path623,renal_efferent_arteriole
path619,renal_efferent_arteriole
path615,renal_efferent_arteriole
path611,renal_efferent_arteriole
path607,renal_efferent_arteriole
path603,renal_efferent_arteriole
path599,renal_efferent_arteriole
path595,renal_efferent_arteriole
path591,renal_efferent_arteriole
path587,renal_efferent_arteriole
path583,renal_efferent_arteriole
path579,renal_efferent_arteriole
parietal_epithelial_cells,parietal_epithelial_cell
podocytes,glomerular_visceral_epithelial_cell
path571,glomerular_capillary_endothelial_cell
path573,glomerular_capillary_endothelial_cell
path49,glomerular_mesangial_cell
path51,glomerular_mesangial_cell
path53,glomerular_mesangial_cell
path55,glomerular_mesangial_cell
path57,glomerular_mesangial_cell
path61,glomerular_mesangial_cell
path63,glomerular_mesangial_cell
path65,glomerular_mesangial_cell
path67,glomerular_mesangial_cell
path69,glomerular_mesangial_cell
path71,glomerular_mesangial_cell
path73,glomerular_mesangial_cell
path75,glomerular_mesangial_cell
path103,glomerular_mesangial_cell
juxtaglomerular_granular_cell,kidney_granular_cell
macula_densa,macula_densa_epithelial_cell
