svg_id,reference_name
thick_ascending_limb,thick_ascending_limb
distal_convoluted_tubule,distal_convoluted_tubule
descending_thin_limb,descending_thin_limb
ascending_thin_limb,ascending_thin_limb
connecting_tubule,connecting_tubule
collecting_duct,collecting_duct
proximal_tubule,proximal_tubule
renal_corpuscle,renal_corpuscle
cortical_collecting_duct,cortical_collecting_duct
inner_medullary_collecting_duct,inner_medullary_collecting_duct
outer_medullary_collecting_duct,outer_medullary_collecting_duct
proximal_tubule_S1_,proximal_tubule_S1_
proximal_tubule_S2_,proximal_tubule_S2_
proximal_tubule_S3_,proximal_tubule_S3_
renal_corpuscle,renal_corpuscle
macula_densa,macula_densa
