svg_id,label,OntologyID,representation_of
parietal_epithelial_cells,glomerular parietal epithelium,UBERON:0005750,http://purl.obolibrary.org/obo/UBERON_0005750
podocytes,glomerular visceral epithelium,UBERON:0006852,http://purl.obolibrary.org/obo/UBERON_0006852
path571,glomerular capillary endothelium,UBERON:0004294,http://purl.obolibrary.org/obo/UBERON_0004294
path573,glomerular capillary endothelium,UBERON:0004294,http://purl.obolibrary.org/obo/UBERON_0004294
mesangium,glomerular mesangium,UBERON:0002320,http://purl.obolibrary.org/obo/UBERON_0002320
,,,
basement_membranes,glomerular basement membrane,UBERON:0005777,http://purl.obolibrary.org/obo/UBERON_0005777
,extraglomerular mesangium,UBERON:0002321,http://purl.obolibrary.org/obo/UBERON_0002321
macula_densa,macula densa,UBERON:0002335,http://purl.obolibrary.org/obo/UBERON_0002335
,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639
,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640
distal_tubule,metanephric thick ascending limb,UBERON:0005127,http://purl.obolibrary.org/obo/UBERON_0005127
juxtaglomerular_granular_cell,juxtaglomerular apparatus,UBERON:0002303,http://purl.obolibrary.org/obo/UBERON_0002303
vascular_smooth_muscle_cell,blood vessel smooth muscle,UBERON:0004237,http://purl.obolibrary.org/obo/UBERON_0004237
proximal_tubule,proximal convoluted tubule segment 1,UBERON:0004196,http://purl.obolibrary.org/obo/UBERON_0004196
basement_membranes,basement membrane of epithelium,UBERON:0005769,http://purl.obolibrary.org/obo/UBERON_0005769
,Bowman's space,UBERON:0001286,http://purl.obolibrary.org/obo/UBERON_0001286
