ASCT+B-FTU Crosswalk Table for Nephron,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,Explorer. [Online]. Available: https://atlas.kpmp.org/explorer/. [Accessed: 04-Aug-2021].,,,,,,,
Date:,8/10/2021,,,,,,,
Version Number:,1.0,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
thick_ascending_limb,thick ascending limb of loop of Henle,UBERON:0001291,http://purl.obolibrary.org/obo/UBERON_0001291,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
distal_convoluted_tubule,distal convoluted tubule,UBERON:0001292,http://purl.obolibrary.org/obo/UBERON_0001292,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
descending_thin_limb,descending thin limb of loop of Henle,UBERON:0001289,http://purl.obolibrary.org/obo/UBERON_0001289,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
ascending_thin_limb,ascending thin limb of loop of Henle,UBERON:0004193,http://purl.obolibrary.org/obo/UBERON_0004193,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
connecting_tubule,connecting tubule,UBERON:0005097,http://purl.obolibrary.org/obo/UBERON_0005097,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
collecting_duct,collecting duct of renal tubule,UBERON:0001232,http://purl.obolibrary.org/obo/UBERON_0001232,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
proximal_tubule,proximal tubule,UBERON:0004134,http://purl.obolibrary.org/obo/UBERON_0004134,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_corpuscle,renal corpuscle,UBERON:0001229,http://purl.obolibrary.org/obo/UBERON_0001229,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
cortical_collecting_duct,cortical collecting duct,UBERON:0004203,http://purl.obolibrary.org/obo/UBERON_0004203,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
inner_medullary_collecting_duct,inner medullary collecting duct,UBERON:0004205,http://purl.obolibrary.org/obo/UBERON_0004205,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
outer_medullary_collecting_duct,outer medullary collecting duct,UBERON:0004204,http://purl.obolibrary.org/obo/UBERON_0004204,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
proximal_tubule_S1_,proximal convoluted tubule segment 1,UBERON:0004196,http://purl.obolibrary.org/obo/UBERON_0004196,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
proximal_tubule_S2_,proximal convoluted tubule segment 2,UBERON:0004197,http://purl.obolibrary.org/obo/UBERON_0004197,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
proximal_tubule_S3_,proximal straight tubule,UBERON:0001290,http://purl.obolibrary.org/obo/UBERON_0001290,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
macula_densa,macula densa,UBERON:0002335,http://purl.obolibrary.org/obo/UBERON_0002335,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
