ASCT+B-FTU Crosswalk Table for Renal Corpuscle,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,Explorer. [Online]. Available: https://atlas.kpmp.org/explorer/. [Accessed: 04-Aug-2021].,,,,,,,
Date:,7/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
parietal_epithelial_cells,glomerular parietal epithelium,UBERON:0005750,http://purl.obolibrary.org/obo/UBERON_0005750,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
podocytes,glomerular visceral epithelium,UBERON:0006852,http://purl.obolibrary.org/obo/UBERON_0006852,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_capillary_endothelium_1,glomerular capillary endothelium,UBERON:0004294,http://purl.obolibrary.org/obo/UBERON_0004294,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_capillary_endothelium_2,glomerular capillary endothelium,UBERON:0004294,http://purl.obolibrary.org/obo/UBERON_0004294,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
mesangium,glomerular mesangium,UBERON:0002320,http://purl.obolibrary.org/obo/UBERON_0002320,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
basement_membranes,glomerular basement membrane,UBERON:0005777,http://purl.obolibrary.org/obo/UBERON_0005777,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
extraglomerular_mesangium_1,extraglomerular mesangium,UBERON:0002321,http://purl.obolibrary.org/obo/UBERON_0002321,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
extraglomerular_mesangium_2,extraglomerular mesangium,UBERON:0002321,http://purl.obolibrary.org/obo/UBERON_0002321,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
extraglomerular_mesangium_3,extraglomerular mesangium,UBERON:0002321,http://purl.obolibrary.org/obo/UBERON_0002321,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
basement_membranes,basement membrane of epithelium,UBERON:0005769,http://purl.obolibrary.org/obo/UBERON_0005769,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
Bowman's_space,Bowman's space,UBERON:0001286,http://purl.obolibrary.org/obo/UBERON_0001286,0,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_1,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_2,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_3,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_4,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_5,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_6,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_7,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_8,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_afferent_arteriole_9,renal afferent arteriole,UBERON:0004639,http://purl.obolibrary.org/obo/UBERON_0004639,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
