ASCT+B-FTU Crosswalk Table of Left Lung's Left Superior Lobar Bronchus,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,"OpenStax, L. L. &amp;. (n.d.). Anatomy and physiology ii. Lumen. Retrieved September 16, 2021, from https://courses.lumenlearning.com/ap2/chapter/anatomy-of-the-lymphatic-and-immune-systems/. ",,,,,,,
Date:,9/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
left_superior_lobar_bronchus,left superior lobar bronchus,fma:7423,http://purl.obolibrary.org/obo/FMA_7423,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
bronchus_smooth_muscle_1,bronchus smooth muscle,UBERON_0004242,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
bronchus_smooth_muscle_2,bronchus smooth muscle,UBERON_0004242,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
bronchus_smooth_muscle_3,bronchus smooth muscle,UBERON_0004242,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
bronchus_smooth_muscle_4,bronchus smooth muscle,UBERON_0004242,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
bronchus_smooth_muscle_5,bronchus smooth muscle,UBERON_0004242,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
lobar_bronchus_vasculature_1,lobar bronchus vasculature,UBERON:0004889,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
lobar_bronchus_vasculature_2,lobar bronchus vasculature,UBERON:0004889,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
lobar_bronchus_vasculature_3,lobar bronchus vasculature,UBERON:0004889,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
lobar_bronchus_vasculature_4,lobar bronchus vasculature,UBERON:0004889,,1,AS,"Vieira Braga FA, Kar G, Berg M, et al. A cellular census of human lungs identifies novel cell states in health and in asthma. Nature Medicine. 2019 Jul;25(7):1153-1163. DOI: 10.1038/s41591-019-0468-5. PMID: 31209336.",10.1038/s41591-019-0468-5,
