ASCT+B-FTU Crosswalk Table of Lymph Node,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,"Batista, Facundo & Coleman, Julia & Frederico, Bruno & Gaya, Mauro. (2016). Antigen Acquisition In Vivo and its Role in B Cell Activation. Encyclopedia of Immunobiology. 10.1016/B978-0-12-374279-7.09002-0. ",,,,,,,
Date:,9/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
lymph_node_secondary_follicle_1,lymph node secondary follicle,UBERON:0010753,http://purl.obolibrary.org/obo/UBERON_0010753,1,AS,"Batista, Facundo & Coleman, Julia & Frederico, Bruno & Gaya, Mauro. (2016). Antigen Acquisition In Vivo and its Role in B Cell Activation. Encyclopedia of Immunobiology.",10.1016/B978-0-12-374279-7.09002-0. ,
lymph_node_secondary_follicle_2,lymph node secondary follicle,UBERON:0010753,http://purl.obolibrary.org/obo/UBERON_0010753,1,AS,"Batista, Facundo & Coleman, Julia & Frederico, Bruno & Gaya, Mauro. (2016). Antigen Acquisition In Vivo and its Role in B Cell Activation. Encyclopedia of Immunobiology.",10.1016/B978-0-12-374279-7.09002-0. ,
lymph_node_secondary_follicle_3,lymph node secondary follicle,UBERON:0010753,http://purl.obolibrary.org/obo/UBERON_0010753,1,AS,"Batista, Facundo & Coleman, Julia & Frederico, Bruno & Gaya, Mauro. (2016). Antigen Acquisition In Vivo and its Role in B Cell Activation. Encyclopedia of Immunobiology.",10.1016/B978-0-12-374279-7.09002-0. ,
lymph_node_secondary_follicle_4,lymph node secondary follicle,UBERON:0010753,http://purl.obolibrary.org/obo/UBERON_0010753,1,AS,"Batista, Facundo & Coleman, Julia & Frederico, Bruno & Gaya, Mauro. (2016). Antigen Acquisition In Vivo and its Role in B Cell Activation. Encyclopedia of Immunobiology.",10.1016/B978-0-12-374279-7.09002-0. ,
follicular_dendritic_cell_1,follicular dendritic cell,CL:0000442,http://purl.obolibrary.org/obo/CL_0000442,1,CT,"Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008 Feb;20(1):14-25. doi: 10.1016/j.smim.2007.12.001. Epub 2008 Feb 7. PMID: 18261920; PMCID: PMC236679",doi: 10.1016/j.smim.2007.12.001,
follicular_dendritic_cell_2,follicular dendritic cell,CL:0000442,http://purl.obolibrary.org/obo/CL_0000442,1,CT,"Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008 Feb;20(1):14-25. doi: 10.1016/j.smim.2007.12.001. Epub 2008 Feb 7. PMID: 18261920; PMCID: PMC236679",doi: 10.1016/j.smim.2007.12.001,
follicular_dendritic_cell_3,follicular dendritic cell,CL:0000442,http://purl.obolibrary.org/obo/CL_0000442,1,CT,"Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008 Feb;20(1):14-25. doi: 10.1016/j.smim.2007.12.001. Epub 2008 Feb 7. PMID: 18261920; PMCID: PMC236679",doi: 10.1016/j.smim.2007.12.001,
follicular_dendritic_cell_4,follicular dendritic cell,CL:0000442,http://purl.obolibrary.org/obo/CL_0000442,1,CT,"Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008 Feb;20(1):14-25. doi: 10.1016/j.smim.2007.12.001. Epub 2008 Feb 7. PMID: 18261920; PMCID: PMC236679",doi: 10.1016/j.smim.2007.12.001,
lymph_node_tingible_body_macrophage_1,lymph node tingible body macrophage,CL:0000888,http://purl.obolibrary.org/obo/CL_0000888,1,CT,"Komohara Y, Ohnishi K, Takeya M. Possible functions of CD169-positive sinus macrophages in lymph nodes in anti-tumor immune responses. Cancer Sci. 2017 Mar;108(3):290-295. doi: 10.1111/cas.13137. Epub 2017 Mar 7. PMID: 28002629; PMCID: PMC5378284.",DOI: 10.1111/cas.13137,
lymph_node_tingible_body_macrophage_2,lymph node tingible body macrophage,CL:0000888,http://purl.obolibrary.org/obo/CL_0000888,1,CT,"Komohara Y, Ohnishi K, Takeya M. Possible functions of CD169-positive sinus macrophages in lymph nodes in anti-tumor immune responses. Cancer Sci. 2017 Mar;108(3):290-295. doi: 10.1111/cas.13137. Epub 2017 Mar 7. PMID: 28002629; PMCID: PMC5378284.",DOI: 10.1111/cas.13137,
